,Jour ,Heure  ,Extérieur,Cumul puissance,,Déperditions,30000,W,,SI(D5<$H$4;$H$8*($H$4-D5);0)
,,,T (°C),Chauffage (W),,Température intérieur de base,19,°C,,
,19,5,-0.1,22038.46154,,,,,,
,19,6,0.2,21692.30769,,,,,,
,19,7,0.4,21461.53846,,,,,,
,19,8,0.6,21230.76923,,,,,,
,19,9,0.7,21115.38462,,,,,,
,19,10,1.2,20538.46154,,,,,,
,19,11,1.7,19961.53846,,,,,,
,19,12,2.2,19384.61538,,,,,,
,19,13,2.6,18923.07692,,,,,,
,19,14,2.9,18576.92308,,,,,,
,19,15,3.1,18346.15385,,,,,,
,19,16,3.1,18346.15385,,,,,,
,19,17,3,18461.53846,,,,,,
,19,18,2.7,18807.69231,,,,,,
,19,19,2.8,18692.30769,,,,,,
,19,20,2.8,18692.30769,,,,,,
,19,21,2.9,18576.92308,,,,,,
,19,22,2.9,18576.92308,,,,,,
,19,23,2.9,18576.92308,,,,,,
,19,24,2.9,18576.92308,,,,,,
,20,1,2.8,18692.30769,,,,,,
,20,2,2.6,18923.07692,,,,,,
,20,3,2.3,19269.23077,,,,,,
,20,4,2.1,19500,,,,,,
,20,5,2.2,19384.61538,,,,,,
,20,6,2,19615.38462,,,,,,
,20,7,2,19615.38462,,,,,,
,20,8,1.9,19730.76923,,,,,,
,20,9,1.9,19730.76923,,,,,,
,20,10,2,19615.38462,,,,,,
,20,11,2.1,19500,,,,,,
,20,12,2.2,19384.61538,,,,,,
,20,13,2.3,19269.23077,,,,,,
,20,14,2.3,19269.23077,,,,,,
,20,15,2.3,19269.23077,,,,,,
,20,16,2.2,19384.61538,,,,,,
,20,17,2.2,19384.61538,,,,,,
,20,18,2.1,19500,,,,,,
,20,19,1.8,19846.15385,,,,,,
,20,20,1.7,19961.53846,,,,,,
,20,21,1.2,20538.46154,,,,,,
,20,22,0.5,21346.15385,,,,,,
,20,23,1,20769.23077,,,,,,
,20,24,0.9,20884.61538,,,,,,
,21,1,0.5,21346.15385,,,,,,
,21,2,-0.1,22038.46154,,,,,,
,21,3,-0.7,22730.76923,,,,,,
,21,4,-1,23076.92308,,,,,,
,21,5,-1.3,23423.07692,,,,,,
,21,6,-1.6,23769.23077,,,,,,
,21,7,-1.8,24000,,,,,,
,21,8,-2,24230.76923,,,,,,
,21,9,-2,24230.76923,,,,,,
,21,10,-1.8,24000,,,,,,
,21,11,-0.1,22038.46154,,,,,,
,21,12,1.2,20538.46154,,,,,,
,21,13,1.9,19730.76923,,,,,,
,21,14,3.5,17884.61538,,,,,,
,21,15,3.9,17423.07692,,,,,,
